Subregion,Municipio residencia,Abandono / Sin TAR,En TAR - Con Carga Viral Detectable,En TAR - Virológicamente Controlado,Total_Pacientes,Tasa_Abandono_%
Oriente,Marinilla,29,17,42,88,32.95
Valle de Aburrá,Girardota,28,25,41,94,29.79
Valle de Aburrá,Medellín (Sabaneta),25,14,40,79,31.65
Valle de Aburrá,Sabaneta,24,12,41,77,31.17
Valle de Aburrá,Envigado,23,21,47,91,25.27
Oriente,La Ceja,22,11,54,87,25.29
Oriente,Rionegro,22,17,54,93,23.66
Valle de Aburrá,Itagüí,18,22,39,79,22.78
Valle de Aburrá,Bello,14,21,45,80,17.5
Valle de Aburrá,Medellín,12,22,48,82,14.63
